Bacteria,carriage_proportion,notes
acinetobacter baumannii,0.02,"Skin/respiratory colonization; 1-3% in healthy, significantly higher in ICUs (Microbiology Society)"
citrobacter spp.,0.05,"Normal gut flora in ~5% of population (Journal of Clinical Microbiology)"
enterobacter spp.,0.08,"Common gut commensal; prevalence increases with antibiotic exposure"
enterococcus faecalis,0.8,"Universal gut commensal; found in almost all healthy adults (Human Microbiome Project)"
enterococcus faecium,0.25,"Standard gut commensal; lower abundance than E. faecalis"
escherichia coli,0.95,"Primary aerobic commensal of the human gut; near-universal carriage"
klebsiella pneumoniae,0.2,"Gut and nasopharyngeal carriage; 5-40% depending on geographic region"
morganella spp.,0.02,"Infrequent gut commensal in healthy individuals"
proteus spp.,0.05,"Normal gut flora component; ~5% prevalence in stool samples"
serratia spp.,0.02,"Occasional gut and respiratory colonization"
pseudomonas aeruginosa,0.05,"Skin and GI carriage; 2-10% in healthy non-hospitalized adults"
stenotrophomonas maltophilia,0.01,"Environmental organism; rare carriage in healthy microbiome"
staphylococcus aureus,0.3,"Persistent nasal carriage in ~20-30% of population (Nature Reviews Microbiology)"
staphylococcus epidermidis,0.95,"Universal skin commensal; core member of human skin microbiome"
streptococcus pneumoniae,0.35,"Nasopharyngeal carriage; high in children (up to 60%), lower in adults (10%)"
salmonella enterica serovar typhi,0.0001,"Chronic carriage occurs in ~2-5% of cases; global pool ~2-5M carriers (WHO)"
salmonella enterica serovar paratyphi a,0.00005,"Very rare chronic carriage following infection"
invasive non-typhoidal salmonella spp.,0.001,"Transient carriage following recovery; rarely persistent in humans"
shigella spp.,0.0005,"No long-term carriage; persistence limited to short post-infection phase"
neisseria gonorrhoeae,0.005,"Asymptomatic infection rate; not part of normal flora (WHO Global Estimates)"
streptococcus pyogenes,0.1,"Pharyngeal carriage ~10% (higher in school-age children) (GAS)"
streptococcus agalactiae,0.25,"Vaginal/rectal colonization in 15-35% of women (GBS) (CDC)"
haemophilus influenzae,0.5,"Commensal of upper respiratory tract (primarily Nontypeable Hi)"
chlamydia trachomatis,0.015,"Prevalence of asymptomatic infection (~129M cases/8B population)"
vibrio cholerae,0.0001,"Environmental; brief human colonization post-outbreak in endemic regions"
neisseria meningitidis,0.1,"Nasopharyngeal carriage ~10%; increases in crowded settings (e.g. dorms)"
listeria monocytogenes,0.05,"Transient gut carriage in 1-10% of healthy adults (EFSA/WHO)"
clostridioides difficile,0.05,"Colonization in ~5% of healthy adults; up to 20% in hospitalized patients"
campylobacter jejuni,0.005,"Typically transient post-infection carriage; rare long-term human reservoir"
enterobacter cloacae,0.06,"Substantial gut commensal population; common in healthy microbiota"
yersinia enterocolitica,0.0005,"Rare human carriage; primarily zoonotic transmission"
moraxella catarrhalis,0.4,"Commensal of respiratory tract; nearly universal in early childhood"
treponema pallidum,0.001,"Infection prevalence (~8M cases); no known asymptomatic commensal state"
bordetella pertussis,0.0005,"Transient carriage during subclinical infection; no long-term reservoir"
helicobacter pylori,0,"Excluded from microbiome pathway by design; infection-only pathogen"
mdr mycobacterium tuberculosis,0.0025,"MDR-LTBI; ~1/4 of world has latent TB, estimated ~1% of those are MDR"
bacteroides fragilis,0.85,"Core obligate anaerobe; >80% of healthy adults colonized (Human Microbiome Project)"
mycoplasma genitalium,0.01,"Low-level genital tract carriage/infection persistence (~1% global prevalence)"
providencia stuartii,0.01,"Rare gut colonizer concentrated in LTCF populations"
