relative_path,source_quality,overlay_provenance_class,generated,generation_method,source_id,source_url_or_doi,reference_year,uncertainty,rationale,last_reviewed
data/empirical/calibration_deaths_empirical.csv,*,source_informed_best_guess_placeholder_provenance_unverified,,legacy_overlay_source_label_only,{source_quality},,,not_quantified,"Retained as a source-informed best-guess placeholder; row-level observational provenance has not been recovered.",2026-07-22
data/empirical/calibration_deaths_empirical.csv,empirical_pattern_extrapolated,generated_best_guess_placeholder,true,legacy_pattern_extrapolation,deaths_pattern_extrapolation,,,not_empirical_uncertainty,"Algorithmically extrapolated comparison pattern; not an observed mortality series.",2026-07-22
data/empirical/calibration_deaths_empirical.csv,synthetic_fallback,generated_best_guess_placeholder,true,legacy_synthetic_fallback,deaths_synthetic_fallback,,,not_empirical_uncertainty,"Generated fallback values retained only as best-guess comparison placeholders.",2026-07-22
data/empirical/calibration_drug_failure_empirical.csv,*,source_informed_best_guess_placeholder_provenance_unverified,,legacy_overlay_source_label_only,{source_quality},,,not_quantified,"Retained as a source-informed best-guess placeholder; row-level trial or real-world evidence provenance has not been recovered.",2026-07-22
data/empirical/calibration_drug_usage_empirical.csv,*,source_informed_best_guess_placeholder_provenance_unverified,,legacy_overlay_source_label_only,{source_quality},,,not_quantified,"Retained as a source-informed best-guess placeholder; row-level antimicrobial-use provenance has not been recovered.",2026-07-22
data/empirical/calibration_drug_usage_empirical.csv,na,generated_best_guess_placeholder,true,legacy_unlabelled_pattern,drug_usage_unlabelled_pattern,,,not_empirical_uncertainty,"Unlabelled generated comparison pattern retained only as a best-guess placeholder.",2026-07-22
data/empirical/calibration_drug_usage_empirical.csv,empirical_pattern_extrapolated,generated_best_guess_placeholder,true,legacy_pattern_extrapolation,drug_usage_pattern_extrapolation,,,not_empirical_uncertainty,"Algorithmically extrapolated comparison pattern; not an observed antimicrobial-use series.",2026-07-22
data/empirical/calibration_drug_usage_empirical.csv,synthetic_fallback,generated_best_guess_placeholder,true,legacy_synthetic_fallback,drug_usage_synthetic_fallback,,,not_empirical_uncertainty,"Generated fallback values retained only as best-guess comparison placeholders.",2026-07-22
data/empirical/calibration_hospital_incidence_empirical.csv,*,source_informed_best_guess_placeholder_provenance_unverified,,legacy_overlay_source_label_only,{source_quality},,,not_quantified,"Retained as a source-informed best-guess placeholder; row-level hospital-incidence provenance has not been recovered.",2026-07-22
data/empirical/calibration_infection_incidence_empirical.csv,*,generated_best_guess_placeholder,true,legacy_synthetic_epidemiological_model,synthetic_epidemiological_model,,,not_empirical_uncertainty,"Generated epidemiological pattern retained only as a best-guess comparison placeholder.",2026-07-22
data/empirical/calibration_mic_empirical.csv,*,source_informed_best_guess_placeholder_provenance_unverified,,legacy_overlay_source_label_only,{source_quality},,,not_quantified,"Retained as a source-informed best-guess placeholder; row-level MIC surveillance provenance has not been recovered.",2026-07-22
data/empirical/calibration_resistance_empirical.csv,*,source_informed_best_guess_placeholder_provenance_unverified,,legacy_overlay_source_label_only,{source_quality},,,not_quantified,"Retained as a source-informed best-guess placeholder; row-level resistance-surveillance provenance has not been recovered.",2026-07-22
data/empirical/calibration_resistance_empirical.csv,na,generated_best_guess_placeholder,true,legacy_unlabelled_pattern,resistance_unlabelled_pattern,,,not_empirical_uncertainty,"Unlabelled generated comparison pattern retained only as a best-guess placeholder.",2026-07-22
data/empirical/calibration_resistance_empirical.csv,empirical_pattern_extrapolated,generated_best_guess_placeholder,true,legacy_pattern_extrapolation,resistance_pattern_extrapolation,,,not_empirical_uncertainty,"Algorithmically extrapolated comparison pattern; not an observed resistance series.",2026-07-22
data/empirical/calibration_resistance_empirical.csv,synthetic_fallback,generated_best_guess_placeholder,true,legacy_synthetic_fallback,resistance_synthetic_fallback,,,not_empirical_uncertainty,"Generated fallback values retained only as best-guess comparison placeholders.",2026-07-22
data/who/glass_amr_surveillance.csv,*,generated_best_guess_placeholder,true,random_source_pattern_generator,who_glass_pattern_template,,,not_empirical_uncertainty,"Programmatically generated WHO-GLASS-structured values; the source name describes the intended format, not observational provenance.",2026-07-22
data/ecdc/ears_net_surveillance.csv,*,generated_best_guess_placeholder,true,random_source_pattern_generator,ecdc_ears_net_pattern_template,,,not_empirical_uncertainty,"Programmatically generated EARS-Net-structured values; the source name describes the intended format, not observational provenance.",2026-07-22
data/australia/nndss_surveillance.csv,*,generated_best_guess_placeholder,true,random_source_pattern_generator,australian_nndss_pattern_template,,,not_empirical_uncertainty,"Programmatically generated NNDSS-structured values; the source name describes the intended format, not observational provenance.",2026-07-22
data/cddep/resistancemap_surveillance.csv,*,generated_best_guess_placeholder,true,random_source_pattern_generator,cddep_resistancemap_pattern_template,,,not_empirical_uncertainty,"Programmatically generated ResistanceMap-structured values; the source name describes the intended format, not observational provenance.",2026-07-22
